Request id,Pickup point,Driver id,Status,Trip duration (minutes),Demand-Supply Gap,Day of week,Hour of day,Time slot
1050,Airport,8.0,Trip Completed,51.0,0,Monday,19,Evening
1769,City,8.0,Trip Completed,27.0,0,Tuesday,8,Morning
2520,City,8.0,Trip Completed,75.0,0,Tuesday,21,Night
449,Airport,9.0,Trip Completed,44.0,0,Monday,9,Morning
846,Airport,9.0,Trip Completed,66.0,0,Monday,17,Evening
1346,Airport,9.0,Trip Completed,44.0,0,Monday,23,Night
1474,Airport,9.0,Trip Completed,43.0,0,Tuesday,5,Early Morning
2240,City,9.0,Trip Completed,34.0,0,Tuesday,18,Evening
1809,Airport,10.0,Trip Completed,48.0,0,Tuesday,9,Morning
2064,Airport,10.0,Trip Completed,66.0,0,Tuesday,15,Afternoon
2030,City,11.0,Trip Completed,51.0,0,Tuesday,14,Afternoon
45,Airport,12.0,Trip Completed,52.0,0,Monday,3,Late Night
264,City,12.0,Trip Completed,49.0,0,Monday,6,Early Morning
1183,City,12.0,Trip Completed,33.0,0,Monday,21,Night
1536,Airport,12.0,Trip Completed,60.0,0,Tuesday,5,Early Morning
2437,City,12.0,Trip Completed,68.0,0,Tuesday,20,Night
2641,Airport,12.0,Trip Completed,37.0,0,Tuesday,22,Night
155,City,13.0,Trip Completed,56.0,0,Monday,5,Early Morning
310,Airport,13.0,Trip Completed,64.0,0,Monday,7,Early Morning
607,City,13.0,Trip Completed,51.0,0,Monday,11,Morning
1012,City,13.0,Trip Completed,42.0,0,Monday,19,Evening
1696,Airport,13.0,Trip Completed,41.0,0,Tuesday,8,Morning
139,Airport,14.0,Trip Completed,48.0,0,Monday,5,Early Morning
215,City,14.0,Trip Completed,52.0,0,Monday,6,Early Morning
1816,City,14.0,Trip Completed,43.0,0,Tuesday,9,Morning
2505,Airport,14.0,Trip Completed,71.0,0,Tuesday,21,Night
1027,Airport,15.0,Trip Completed,66.0,0,Monday,19,Evening
2675,Airport,15.0,Trip Completed,0.0,0,Tuesday,23,Night
591,City,16.0,Trip Completed,66.0,0,Monday,11,Morning
709,City,16.0,Trip Completed,47.0,0,Monday,14,Afternoon
1167,Airport,16.0,Trip Completed,62.0,0,Monday,20,Night
2661,Airport,16.0,Trip Completed,0.0,0,Tuesday,23,Night
634,City,17.0,Trip Completed,41.0,0,Monday,12,Afternoon
939,Airport,17.0,Trip Completed,61.0,0,Monday,18,Evening
2628,Airport,17.0,Trip Completed,75.0,0,Tuesday,22,Night
499,City,18.0,Trip Completed,37.0,0,Monday,9,Morning
1147,Airport,18.0,Trip Completed,36.0,0,Monday,20,Night
1410,Airport,18.0,Trip Completed,73.0,0,Tuesday,3,Late Night
1804,Airport,18.0,Trip Completed,45.0,0,Tuesday,9,Morning
1949,Airport,18.0,Trip Completed,41.0,0,Tuesday,11,Morning
494,City,19.0,Trip Completed,26.0,0,Monday,9,Morning
1485,City,19.0,Trip Completed,74.0,0,Tuesday,5,Early Morning
2042,City,19.0,Trip Completed,39.0,0,Tuesday,14,Afternoon
2561,Airport,19.0,Trip Completed,75.0,0,Tuesday,21,Night
468,City,20.0,Trip Completed,45.0,0,Monday,9,Morning
693,Airport,20.0,Trip Completed,70.0,0,Monday,13,Afternoon
1178,City,20.0,Trip Completed,61.0,0,Monday,21,Night
2103,City,20.0,Trip Completed,70.0,0,Tuesday,16,Evening
2292,Airport,20.0,Trip Completed,37.0,0,Tuesday,18,Evening
1895,City,21.0,Trip Completed,32.0,0,Tuesday,10,Morning
1981,Airport,21.0,Trip Completed,33.0,0,Tuesday,12,Afternoon
110,City,22.0,Trip Completed,61.0,0,Monday,5,Early Morning
362,City,22.0,Trip Completed,77.0,0,Monday,8,Morning
666,Airport,22.0,Trip Completed,43.0,0,Monday,13,Afternoon
926,City,22.0,Trip Completed,66.0,0,Monday,18,Evening
1180,Airport,22.0,Trip Completed,73.0,0,Monday,21,Night
1900,City,22.0,Trip Completed,70.0,0,Tuesday,10,Morning
2506,City,22.0,Trip Completed,37.0,0,Tuesday,21,Night
523,Airport,23.0,Trip Completed,49.0,0,Monday,9,Morning
747,City,23.0,Trip Completed,50.0,0,Monday,15,Afternoon
1371,Airport,23.0,Trip Completed,71.0,0,Tuesday,0,Late Night
1553,City,23.0,Trip Completed,60.0,0,Tuesday,6,Early Morning
1692,Airport,23.0,Trip Completed,69.0,0,Tuesday,7,Early Morning
2114,City,23.0,Trip Completed,45.0,0,Tuesday,16,Evening
357,Airport,24.0,Trip Completed,68.0,0,Monday,8,Morning
1068,City,24.0,Trip Completed,56.0,0,Monday,19,Evening
773,City,25.0,Trip Completed,58.0,0,Monday,16,Evening
1123,City,25.0,Trip Completed,58.0,0,Monday,20,Night
2667,Airport,25.0,Trip Completed,0.0,0,Tuesday,23,Night
322,City,26.0,Trip Completed,39.0,0,Monday,7,Early Morning
793,City,26.0,Trip Completed,62.0,0,Monday,17,Evening
898,Airport,26.0,Trip Completed,55.0,0,Monday,18,Evening
1258,City,26.0,Trip Completed,69.0,0,Monday,21,Night
204,City,27.0,Trip Completed,40.0,0,Monday,6,Early Morning
632,Airport,27.0,Trip Completed,50.0,0,Monday,12,Afternoon
763,City,27.0,Trip Completed,66.0,0,Monday,16,Evening
1786,Airport,27.0,Trip Completed,55.0,0,Tuesday,9,Morning
1968,City,27.0,Trip Completed,39.0,0,Tuesday,12,Afternoon
2088,Airport,27.0,Trip Completed,71.0,0,Tuesday,15,Afternoon
2473,Airport,27.0,Trip Completed,37.0,0,Tuesday,20,Night
84,City,28.0,Trip Completed,36.0,0,Monday,4,Early Morning
1199,City,28.0,Trip Completed,36.0,0,Monday,21,Night
1676,Airport,28.0,Trip Completed,56.0,0,Tuesday,7,Early Morning
1584,Airport,29.0,Trip Completed,52.0,0,Tuesday,6,Early Morning
1966,Airport,29.0,Trip Completed,67.0,0,Tuesday,12,Afternoon
517,Airport,30.0,Trip Completed,39.0,0,Monday,9,Morning
1406,Airport,30.0,Trip Completed,53.0,0,Tuesday,3,Late Night
1643,Airport,30.0,Trip Completed,52.0,0,Tuesday,7,Early Morning
2108,Airport,30.0,Trip Completed,34.0,0,Tuesday,16,Evening
2647,City,30.0,Trip Completed,32.0,0,Tuesday,22,Night
629,Airport,31.0,Trip Completed,46.0,0,Monday,12,Afternoon
745,Airport,31.0,Trip Completed,57.0,0,Monday,15,Afternoon
1064,City,31.0,Trip Completed,38.0,0,Monday,19,Evening
1886,Airport,31.0,Trip Completed,25.0,0,Tuesday,10,Morning
2162,Airport,32.0,Trip Completed,59.0,0,Tuesday,17,Evening
145,City,33.0,Trip Completed,65.0,0,Monday,5,Early Morning
735,City,33.0,Trip Completed,65.0,0,Monday,15,Afternoon
918,Airport,33.0,Trip Completed,42.0,0,Monday,18,Evening
1478,City,33.0,Trip Completed,57.0,0,Tuesday,5,Early Morning
1957,City,33.0,Trip Completed,70.0,0,Tuesday,11,Morning
738,City,34.0,Trip Completed,74.0,0,Monday,15,Afternoon
360,Airport,35.0,Trip Completed,63.0,0,Monday,8,Morning
771,Airport,35.0,Trip Completed,75.0,0,Monday,16,Evening
1274,City,35.0,Trip Completed,80.0,0,Monday,22,Night
1501,City,35.0,Trip Completed,66.0,0,Tuesday,5,Early Morning
1972,City,35.0,Trip Completed,21.0,0,Tuesday,12,Afternoon
1104,Airport,36.0,Trip Completed,63.0,0,Monday,20,Night
1596,Airport,36.0,Trip Completed,51.0,0,Tuesday,6,Early Morning
1835,Airport,36.0,Trip Completed,55.0,0,Tuesday,9,Morning
2110,Airport,36.0,Trip Completed,53.0,0,Tuesday,16,Evening
191,Airport,37.0,Trip Completed,50.0,0,Monday,5,Early Morning
333,City,37.0,Trip Completed,70.0,0,Monday,7,Early Morning
488,Airport,37.0,Trip Completed,45.0,0,Monday,9,Morning
1780,City,37.0,Trip Completed,47.0,0,Tuesday,8,Morning
2235,Airport,37.0,Trip Completed,62.0,0,Tuesday,18,Evening
2516,City,37.0,Trip Completed,73.0,0,Tuesday,21,Night
125,City,38.0,Trip Completed,65.0,0,Monday,5,Early Morning
1611,City,38.0,Trip Completed,55.0,0,Tuesday,6,Early Morning
1814,City,38.0,Trip Completed,40.0,0,Tuesday,9,Morning
249,City,39.0,Trip Completed,43.0,0,Monday,6,Early Morning
728,City,39.0,Trip Completed,64.0,0,Monday,15,Afternoon
1353,Airport,40.0,Trip Completed,43.0,0,Monday,23,Night
1568,City,40.0,Trip Completed,34.0,0,Tuesday,6,Early Morning
2465,City,40.0,Trip Completed,59.0,0,Tuesday,20,Night
1941,Airport,41.0,Trip Completed,40.0,0,Tuesday,11,Morning
238,City,42.0,Trip Completed,48.0,0,Monday,6,Early Morning
2624,City,42.0,Trip Completed,61.0,0,Tuesday,22,Night
128,City,43.0,Trip Completed,36.0,0,Monday,5,Early Morning
627,City,43.0,Trip Completed,58.0,0,Monday,12,Afternoon
1766,Airport,43.0,Trip Completed,67.0,0,Tuesday,8,Morning
2089,City,43.0,Trip Completed,43.0,0,Tuesday,15,Afternoon
118,Airport,44.0,Trip Completed,41.0,0,Monday,5,Early Morning
339,Airport,44.0,Trip Completed,56.0,0,Monday,7,Early Morning
766,City,44.0,Trip Completed,64.0,0,Monday,16,Evening
1133,Airport,44.0,Trip Completed,64.0,0,Monday,20,Night
2458,City,44.0,Trip Completed,60.0,0,Tuesday,20,Night
1698,City,45.0,Trip Completed,60.0,0,Tuesday,7,Early Morning
2098,City,45.0,Trip Completed,30.0,0,Tuesday,16,Evening
635,Airport,46.0,Trip Completed,64.0,0,Monday,12,Afternoon
1275,Airport,46.0,Trip Completed,57.0,0,Monday,22,Night
1562,Airport,46.0,Trip Completed,59.0,0,Tuesday,6,Early Morning
995,Airport,47.0,Trip Completed,22.0,0,Monday,19,Evening
1771,City,47.0,Trip Completed,31.0,0,Tuesday,8,Morning
443,City,48.0,Trip Completed,40.0,0,Monday,9,Morning
1299,City,48.0,Trip Completed,44.0,0,Monday,22,Night
1637,Airport,48.0,Trip Completed,66.0,0,Tuesday,7,Early Morning
2099,Airport,48.0,Trip Completed,73.0,0,Tuesday,16,Evening
2349,Airport,48.0,Trip Completed,45.0,0,Tuesday,19,Evening
540,City,49.0,Trip Completed,56.0,0,Monday,9,Morning
1533,City,49.0,Trip Completed,36.0,0,Tuesday,5,Early Morning
2359,City,49.0,Trip Completed,57.0,0,Tuesday,19,Evening
2603,City,49.0,Trip Completed,51.0,0,Tuesday,22,Night
2481,City,50.0,Trip Completed,57.0,0,Tuesday,20,Night
686,City,51.0,Trip Completed,46.0,0,Monday,13,Afternoon
777,Airport,51.0,Trip Completed,51.0,0,Monday,16,Evening
1455,Airport,51.0,Trip Completed,31.0,0,Tuesday,4,Early Morning
1906,Airport,51.0,Trip Completed,44.0,0,Tuesday,10,Morning
2432,Airport,51.0,Trip Completed,44.0,0,Tuesday,20,Night
64,City,52.0,Trip Completed,72.0,0,Monday,4,Early Morning
687,Airport,52.0,Trip Completed,44.0,0,Monday,13,Afternoon
1625,City,52.0,Trip Completed,48.0,0,Tuesday,7,Early Morning
1958,Airport,52.0,Trip Completed,54.0,0,Tuesday,11,Morning
2160,Airport,52.0,Trip Completed,35.0,0,Tuesday,17,Evening
2517,Airport,52.0,Trip Completed,76.0,0,Tuesday,21,Night
313,City,53.0,Trip Completed,69.0,0,Monday,7,Early Morning
2107,City,53.0,Trip Completed,56.0,0,Tuesday,16,Evening
234,City,54.0,Trip Completed,56.0,0,Monday,6,Early Morning
425,Airport,54.0,Trip Completed,46.0,0,Monday,8,Morning
1528,City,54.0,Trip Completed,35.0,0,Tuesday,5,Early Morning
1671,Airport,54.0,Trip Completed,69.0,0,Tuesday,7,Early Morning
2223,City,54.0,Trip Completed,65.0,0,Tuesday,18,Evening
531,City,55.0,Trip Completed,35.0,0,Monday,10,Morning
1721,City,55.0,Trip Completed,37.0,0,Tuesday,8,Morning
2665,Airport,55.0,Trip Completed,0.0,0,Tuesday,23,Night
1914,Airport,56.0,Trip Completed,70.0,0,Tuesday,10,Morning
614,City,57.0,Trip Completed,63.0,0,Monday,11,Morning
1340,City,57.0,Trip Completed,33.0,0,Monday,23,Night
1576,City,57.0,Trip Completed,74.0,0,Tuesday,6,Early Morning
1974,Airport,57.0,Trip Completed,48.0,0,Tuesday,12,Afternoon
2597,City,57.0,Trip Completed,62.0,0,Tuesday,21,Night
660,Airport,58.0,Trip Completed,49.0,0,Monday,12,Afternoon
943,Airport,58.0,Trip Completed,51.0,0,Monday,18,Evening
1445,Airport,58.0,Trip Completed,77.0,0,Tuesday,4,Early Morning
172,Airport,59.0,Trip Completed,38.0,0,Monday,5,Early Morning
518,City,59.0,Trip Completed,56.0,0,Monday,9,Morning
843,Airport,59.0,Trip Completed,53.0,0,Monday,17,Evening
1070,City,59.0,Trip Completed,60.0,0,Monday,19,Evening
2078,Airport,59.0,Trip Completed,46.0,0,Tuesday,15,Afternoon
620,City,60.0,Trip Completed,73.0,0,Monday,12,Afternoon
1286,Airport,60.0,Trip Completed,41.0,0,Monday,22,Night
2482,City,60.0,Trip Completed,57.0,0,Tuesday,20,Night
1349,Airport,61.0,Trip Completed,41.0,0,Monday,23,Night
2192,Airport,61.0,Trip Completed,55.0,0,Tuesday,17,Evening
2323,City,61.0,Trip Completed,71.0,0,Tuesday,19,Evening
418,City,62.0,Trip Completed,42.0,0,Monday,8,Morning
608,Airport,62.0,Trip Completed,51.0,0,Monday,11,Morning
1842,City,62.0,Trip Completed,38.0,0,Tuesday,9,Morning
121,Airport,63.0,Trip Completed,55.0,0,Monday,5,Early Morning
571,Airport,63.0,Trip Completed,60.0,0,Monday,10,Morning
2444,Airport,63.0,Trip Completed,72.0,0,Tuesday,20,Night
584,Airport,64.0,Trip Completed,71.0,0,Monday,11,Morning
1741,Airport,64.0,Trip Completed,36.0,0,Tuesday,8,Morning
2031,City,64.0,Trip Completed,34.0,0,Tuesday,14,Afternoon
744,City,65.0,Trip Completed,49.0,0,Monday,15,Afternoon
1634,Airport,65.0,Trip Completed,51.0,0,Tuesday,7,Early Morning
1911,Airport,65.0,Trip Completed,58.0,0,Tuesday,10,Morning
2608,Airport,65.0,Trip Completed,37.0,0,Tuesday,21,Night
250,Airport,66.0,Trip Completed,65.0,0,Monday,6,Early Morning
781,City,66.0,Trip Completed,61.0,0,Monday,16,Evening
1681,Airport,66.0,Trip Completed,51.0,0,Tuesday,7,Early Morning
630,Airport,67.0,Trip Completed,54.0,0,Monday,12,Afternoon
679,City,67.0,Trip Completed,55.0,0,Monday,13,Afternoon
782,Airport,67.0,Trip Completed,41.0,0,Monday,16,Evening
1329,Airport,67.0,Trip Completed,35.0,0,Monday,23,Night
1712,Airport,67.0,Trip Completed,52.0,0,Tuesday,8,Morning
2033,City,67.0,Trip Completed,42.0,0,Tuesday,14,Afternoon
1480,Airport,68.0,Trip Completed,51.0,0,Tuesday,5,Early Morning
2013,City,68.0,Trip Completed,54.0,0,Tuesday,13,Afternoon
93,City,69.0,Trip Completed,37.0,0,Monday,4,Early Morning
402,Airport,69.0,Trip Completed,31.0,0,Monday,8,Morning
582,City,69.0,Trip Completed,63.0,0,Monday,10,Morning
733,City,69.0,Trip Completed,65.0,0,Monday,15,Afternoon
951,Airport,69.0,Trip Completed,32.0,0,Monday,18,Evening
1889,City,69.0,Trip Completed,64.0,0,Tuesday,10,Morning
2046,Airport,69.0,Trip Completed,42.0,0,Tuesday,14,Afternoon
2664,Airport,69.0,Trip Completed,0.0,0,Tuesday,23,Night
514,City,70.0,Trip Completed,71.0,0,Monday,9,Morning
703,City,70.0,Trip Completed,33.0,0,Monday,14,Afternoon
947,City,70.0,Trip Completed,27.0,0,Monday,18,Evening
2252,City,70.0,Trip Completed,34.0,0,Tuesday,18,Evening
467,City,71.0,Trip Completed,57.0,0,Monday,9,Morning
615,City,71.0,Trip Completed,49.0,0,Monday,11,Morning
801,Airport,71.0,Trip Completed,73.0,0,Monday,17,Evening
1587,Airport,71.0,Trip Completed,71.0,0,Tuesday,6,Early Morning
1925,City,71.0,Trip Completed,45.0,0,Tuesday,11,Morning
2527,City,71.0,Trip Completed,42.0,0,Tuesday,21,Night
160,Airport,72.0,Trip Completed,56.0,0,Monday,5,Early Morning
2029,City,72.0,Trip Completed,53.0,0,Tuesday,14,Afternoon
2543,City,72.0,Trip Completed,37.0,0,Tuesday,21,Night
81,Airport,73.0,Trip Completed,73.0,0,Monday,4,Early Morning
370,City,73.0,Trip Completed,26.0,0,Monday,8,Morning
799,Airport,73.0,Trip Completed,46.0,0,Monday,17,Evening
1300,City,73.0,Trip Completed,25.0,0,Monday,22,Night
1805,Airport,73.0,Trip Completed,52.0,0,Tuesday,9,Morning
2410,City,73.0,Trip Completed,54.0,0,Tuesday,20,Night
285,City,74.0,Trip Completed,38.0,0,Monday,7,Early Morning
754,City,74.0,Trip Completed,47.0,0,Monday,16,Evening
1449,Airport,74.0,Trip Completed,64.0,0,Tuesday,4,Early Morning
462,City,75.0,Trip Completed,76.0,0,Monday,9,Morning
817,City,75.0,Trip Completed,51.0,0,Monday,17,Evening
1790,Airport,75.0,Trip Completed,52.0,0,Tuesday,9,Morning
2014,City,75.0,Trip Completed,33.0,0,Tuesday,13,Afternoon
2165,City,75.0,Trip Completed,53.0,0,Tuesday,17,Evening
2627,City,75.0,Trip Completed,48.0,0,Tuesday,22,Night
88,Airport,76.0,Trip Completed,73.0,0,Monday,4,Early Morning
201,City,76.0,Trip Completed,71.0,0,Monday,6,Early Morning
847,Airport,76.0,Trip Completed,59.0,0,Monday,17,Evening
1585,Airport,76.0,Trip Completed,57.0,0,Tuesday,6,Early Morning
2116,City,76.0,Trip Completed,36.0,0,Tuesday,16,Evening
376,City,77.0,Trip Completed,38.0,0,Monday,8,Morning
899,City,77.0,Trip Completed,67.0,0,Monday,18,Evening
1112,Airport,77.0,Trip Completed,52.0,0,Monday,20,Night
1444,City,77.0,Trip Completed,73.0,0,Tuesday,4,Early Morning
1993,City,77.0,Trip Completed,52.0,0,Tuesday,12,Afternoon
2417,City,77.0,Trip Completed,83.0,0,Tuesday,19,Evening
34,City,78.0,Trip Completed,74.0,0,Monday,2,Late Night
637,Airport,78.0,Trip Completed,67.0,0,Monday,12,Afternoon
1005,City,78.0,Trip Completed,46.0,0,Monday,19,Evening
1293,City,78.0,Trip Completed,56.0,0,Monday,22,Night
1664,Airport,78.0,Trip Completed,70.0,0,Tuesday,7,Early Morning
1915,City,78.0,Trip Completed,47.0,0,Tuesday,10,Morning
645,City,79.0,Trip Completed,72.0,0,Monday,12,Afternoon
732,Airport,79.0,Trip Completed,39.0,0,Monday,15,Afternoon
1215,Airport,79.0,Trip Completed,55.0,0,Monday,21,Night
1450,Airport,79.0,Trip Completed,60.0,0,Tuesday,4,Early Morning
2044,Airport,79.0,Trip Completed,42.0,0,Tuesday,14,Afternoon
2420,Airport,79.0,Trip Completed,57.0,0,Tuesday,20,Night
3,Airport,80.0,Trip Completed,67.0,0,Monday,0,Late Night
70,City,80.0,Trip Completed,56.0,0,Monday,4,Early Morning
256,Airport,80.0,Trip Completed,54.0,0,Monday,6,Early Morning
702,Airport,80.0,Trip Completed,43.0,0,Monday,14,Afternoon
769,Airport,80.0,Trip Completed,64.0,0,Monday,16,Evening
1277,City,80.0,Trip Completed,31.0,0,Monday,22,Night
2062,Airport,80.0,Trip Completed,54.0,0,Tuesday,15,Afternoon
2399,Airport,80.0,Trip Completed,44.0,0,Tuesday,19,Evening
2645,Airport,80.0,Trip Completed,36.0,0,Tuesday,22,Night
269,City,81.0,Trip Completed,59.0,0,Monday,6,Early Morning
336,Airport,81.0,Trip Completed,54.0,0,Monday,7,Early Morning
1241,Airport,81.0,Trip Completed,64.0,0,Monday,21,Night
1651,Airport,81.0,Trip Completed,38.0,0,Tuesday,7,Early Morning
1963,City,81.0,Trip Completed,63.0,0,Tuesday,11,Morning
2368,City,81.0,Trip Completed,51.0,0,Tuesday,19,Evening
286,City,82.0,Trip Completed,56.0,0,Monday,6,Early Morning
547,Airport,82.0,Trip Completed,46.0,0,Monday,10,Morning
574,City,82.0,Trip Completed,41.0,0,Monday,10,Morning
936,Airport,82.0,Trip Completed,57.0,0,Monday,18,Evening
1514,Airport,82.0,Trip Completed,37.0,0,Tuesday,5,Early Morning
1656,City,82.0,Trip Completed,69.0,0,Tuesday,7,Early Morning
2405,Airport,82.0,Trip Completed,52.0,0,Tuesday,20,Night
520,City,83.0,Trip Completed,56.0,0,Monday,9,Morning
1285,City,83.0,Trip Completed,64.0,0,Monday,22,Night
422,City,84.0,Trip Completed,74.0,0,Monday,8,Morning
578,Airport,84.0,Trip Completed,50.0,0,Monday,11,Morning
603,Airport,85.0,Trip Completed,73.0,0,Monday,11,Morning
1956,City,85.0,Trip Completed,47.0,0,Tuesday,11,Morning
51,City,86.0,Trip Completed,59.0,0,Monday,3,Late Night
446,City,86.0,Trip Completed,61.0,0,Monday,9,Morning
1252,City,86.0,Trip Completed,67.0,0,Monday,21,Night
1380,Airport,86.0,Trip Completed,74.0,0,Tuesday,1,Late Night
1638,City,86.0,Trip Completed,35.0,0,Tuesday,7,Early Morning
2152,Airport,86.0,Trip Completed,30.0,0,Tuesday,17,Evening
246,Airport,87.0,Trip Completed,35.0,0,Monday,6,Early Morning
980,Airport,87.0,Trip Completed,75.0,0,Monday,19,Evening
1677,City,87.0,Trip Completed,38.0,0,Tuesday,7,Early Morning
746,Airport,88.0,Trip Completed,47.0,0,Monday,15,Afternoon
1488,Airport,88.0,Trip Completed,67.0,0,Tuesday,5,Early Morning
1838,City,88.0,Trip Completed,30.0,0,Tuesday,9,Morning
257,Airport,89.0,Trip Completed,72.0,0,Monday,6,Early Morning
708,Airport,89.0,Trip Completed,32.0,0,Monday,14,Afternoon
891,Airport,89.0,Trip Completed,64.0,0,Monday,18,Evening
1748,City,89.0,Trip Completed,41.0,0,Tuesday,8,Morning
2625,City,89.0,Trip Completed,69.0,0,Tuesday,22,Night
1563,Airport,90.0,Trip Completed,76.0,0,Tuesday,6,Early Morning
2207,Airport,90.0,Trip Completed,78.0,0,Tuesday,17,Evening
1181,Airport,91.0,Trip Completed,62.0,0,Monday,21,Night
1297,City,91.0,Trip Completed,41.0,0,Monday,22,Night
1429,City,91.0,Trip Completed,41.0,0,Tuesday,4,Early Morning
2104,City,91.0,Trip Completed,57.0,0,Tuesday,16,Evening
870,City,92.0,Trip Completed,44.0,0,Monday,17,Evening
2124,Airport,92.0,Trip Completed,38.0,0,Tuesday,16,Evening
2457,Airport,92.0,Trip Completed,68.0,0,Tuesday,20,Night
2621,City,92.0,Trip Completed,53.0,0,Tuesday,22,Night
913,Airport,93.0,Trip Completed,57.0,0,Monday,18,Evening
1852,City,93.0,Trip Completed,75.0,0,Tuesday,9,Morning
692,Airport,94.0,Trip Completed,40.0,0,Monday,13,Afternoon
1351,Airport,94.0,Trip Completed,65.0,0,Monday,23,Night
1800,City,94.0,Trip Completed,56.0,0,Tuesday,9,Morning
2434,City,94.0,Trip Completed,59.0,0,Tuesday,20,Night
53,Airport,95.0,Trip Completed,52.0,0,Monday,3,Late Night
156,Airport,96.0,Trip Completed,65.0,0,Monday,5,Early Morning
350,City,96.0,Trip Completed,47.0,0,Monday,7,Early Morning
976,Airport,96.0,Trip Completed,54.0,0,Monday,18,Evening
1344,City,96.0,Trip Completed,64.0,0,Monday,23,Night
1524,City,96.0,Trip Completed,69.0,0,Tuesday,5,Early Morning
2143,Airport,96.0,Trip Completed,41.0,0,Tuesday,17,Evening
2353,City,96.0,Trip Completed,52.0,0,Tuesday,19,Evening
569,Airport,97.0,Trip Completed,67.0,0,Monday,10,Morning
1626,Airport,97.0,Trip Completed,51.0,0,Tuesday,6,Early Morning
1565,Airport,98.0,Trip Completed,71.0,0,Tuesday,6,Early Morning
1973,Airport,98.0,Trip Completed,30.0,0,Tuesday,12,Afternoon
2363,Airport,98.0,Trip Completed,61.0,0,Tuesday,19,Evening
101,Airport,99.0,Trip Completed,61.0,0,Monday,5,Early Morning
351,City,99.0,Trip Completed,62.0,0,Monday,7,Early Morning
871,City,99.0,Trip Completed,45.0,0,Monday,17,Evening
1330,Airport,99.0,Trip Completed,63.0,0,Monday,23,Night
50,City,100.0,Trip Completed,35.0,0,Monday,3,Late Night
102,Airport,100.0,Trip Completed,37.0,0,Monday,5,Early Morning
211,City,100.0,Trip Completed,39.0,0,Monday,6,Early Morning
510,City,100.0,Trip Completed,81.0,0,Monday,9,Morning
1548,Airport,100.0,Trip Completed,62.0,0,Tuesday,6,Early Morning
2208,City,100.0,Trip Completed,61.0,0,Tuesday,17,Evening
639,City,101.0,Trip Completed,28.0,0,Monday,12,Afternoon
1451,Airport,101.0,Trip Completed,47.0,0,Tuesday,4,Early Morning
2335,City,101.0,Trip Completed,47.0,0,Tuesday,19,Evening
2572,Airport,101.0,Trip Completed,67.0,0,Tuesday,21,Night
373,Airport,102.0,Trip Completed,67.0,0,Monday,8,Morning
1338,Airport,102.0,Trip Completed,35.0,0,Monday,23,Night
1830,City,102.0,Trip Completed,70.0,0,Tuesday,9,Morning
2274,City,102.0,Trip Completed,49.0,0,Tuesday,18,Evening
2057,Airport,103.0,Trip Completed,34.0,0,Tuesday,15,Afternoon
521,City,104.0,Trip Completed,67.0,0,Monday,9,Morning
1850,City,104.0,Trip Completed,35.0,0,Tuesday,9,Morning
148,Airport,105.0,Trip Completed,70.0,0,Monday,5,Early Morning
1113,City,105.0,Trip Completed,37.0,0,Monday,20,Night
1758,Airport,105.0,Trip Completed,35.0,0,Tuesday,8,Morning
2395,Airport,105.0,Trip Completed,55.0,0,Tuesday,19,Evening
507,Airport,106.0,Trip Completed,58.0,0,Monday,9,Morning
1135,Airport,106.0,Trip Completed,52.0,0,Monday,20,Night
